"id","code","name","dpto_id/id","name_code","dpto_code"
"dpto_145","14","San Miguel Tepezontes","l10n_sv_rk.08",SAN MIGUEL TEPEZONTES,08
"dpto_146","15","San Pedro Masahuat","l10n_sv_rk.08",SAN PEDRO MASAHUAT,08
"dpto_147","16","San Pedro Nonualco","l10n_sv_rk.08",SAN PEDRO NONUALCO,08
"dpto_148","17","San R Obrajuelo","l10n_sv_rk.08",SAN R OBRAJUELO,08
"dpto_149","18","Sta Ma Ostuma","l10n_sv_rk.08",STA MA OSTUMA,08
"dpto_150","19","Stgo Nonualco","l10n_sv_rk.08",STGO NONUALCO,08
"dpto_151","20","Tapalhuaca","l10n_sv_rk.08",TAPALHUACA,08
"dpto_152","21","Zacatecoluca","l10n_sv_rk.08",ZACATECOLUCA,08
"dpto_153","22","Sn Luis La Herr","l10n_sv_rk.08",SN LUIS LA HERR,08
"dpto_154","01","Cinquera","l10n_sv_rk.09",CINQUERA,09
"dpto_155","02","Guacotecti","l10n_sv_rk.09",GUACOTECTI,09
"dpto_156","03","Ilobasco","l10n_sv_rk.09",ILOBASCO,09
"dpto_157","04","Jutiapa","l10n_sv_rk.09",JUTIAPA,09
"dpto_158","05","San Isidro","l10n_sv_rk.09",SAN ISIDRO,09
"dpto_159","06","Sensuntepeque","l10n_sv_rk.09",SENSUNTEPEQUE,09
"dpto_160","07","Tejutepeque","l10n_sv_rk.09",TEJUTEPEQUE,09
"dpto_161","08","Victoria","l10n_sv_rk.09",VICTORIA,09
"dpto_162","09","Dolores","l10n_sv_rk.09",DOLORES,09
"dpto_163","01","Apastepeque","l10n_sv_rk.10",APASTEPEQUE,10
"dpto_164","02","Guadalupe","l10n_sv_rk.10",GUADALUPE,10
"dpto_165","03","San Cay Istepeq","l10n_sv_rk.10",SAN CAY ISTEPEQ,10
"dpto_166","04","Santa Clara","l10n_sv_rk.10",SANTA CLARA,10
"dpto_167","05","Santo Domingo","l10n_sv_rk.10",SANTO DOMINGO,10
"dpto_168","06","Sn Est Catarina","l10n_sv_rk.10",SN EST CATARINA,10
"dpto_169","07","San Ildefonso","l10n_sv_rk.10",SAN ILDEFONSO,10
"dpto_170","08","San Lorenzo","l10n_sv_rk.10",SAN LORENZO,10
"dpto_171","09","San Sebastian","l10n_sv_rk.10",SAN SEBASTIÁN,10
"dpto_172","10","San Vicente","l10n_sv_rk.10",SAN VICENTE,10
"dpto_173","11","Tecoluca","l10n_sv_rk.10",TECOLUCA,10
"dpto_174","12","Tepetitan","l10n_sv_rk.10",TEPETITÁN,10
"dpto_175","13","Verapaz","l10n_sv_rk.10",VERAPAZ,10
"dpto_176","01","Alegria","l10n_sv_rk.11",ALEGRÍA,11
"dpto_177","02","Berlin","l10n_sv_rk.11",BERLÍN,11
"dpto_178","03","California","l10n_sv_rk.11",CALIFORNIA,11
"dpto_179","04","Concep Batres","l10n_sv_rk.11",CONCEP BATRES,11
"dpto_180","05","El Triunfo","l10n_sv_rk.11",EL TRIUNFO,11
"dpto_181","06","Ereguayquin","l10n_sv_rk.11",EREGUAYQUÍN,11
"dpto_182","07","Estanzuelas","l10n_sv_rk.11",ESTANZUELAS,11
"dpto_183","08","Jiquilisco","l10n_sv_rk.11",JIQUILISCO,11
"dpto_184","09","Jucuapa","l10n_sv_rk.11",JUCUAPA,11
"dpto_185","10","Jucuaran","l10n_sv_rk.11",JUCUARÁN,11
"dpto_186","11","Mercedes Umaña","l10n_sv_rk.11",MERCEDES UMAÑA,11
"dpto_187","12","Nueva Granada","l10n_sv_rk.11",NUEVA GRANADA,11
"dpto_188","13","Ozatlan","l10n_sv_rk.11",OZATLÁN,11
"dpto_189","14","Pto El Triunfo","l10n_sv_rk.11",PTO EL TRIUNFO,11
"dpto_190","15","San Agustin","l10n_sv_rk.11",SAN AGUSTÍN,11
"dpto_191","16","Sn Buenaventura","l10n_sv_rk.11",SN BUENAVENTURA,11
"dpto_192","17","San Dionisio","l10n_sv_rk.11",SAN DIONISIO,11
"dpto_193","18","Santa Elena","l10n_sv_rk.11",SANTA ELENA,11
"dpto_194","19","San Fco Javier","l10n_sv_rk.11",SAN FCO JAVIER,11
"dpto_195","20","Santa Maria","l10n_sv_rk.11",SANTA MARÍA,11
"dpto_196","21","Stgo De Maria","l10n_sv_rk.11",STGO DE MARÍA,11
"dpto_197","22","Tecapan","l10n_sv_rk.11",TECAPÁN,11
"dpto_198","23","Usulutan","l10n_sv_rk.11",USULUTÁN,11
"dpto_199","01","Carolina","l10n_sv_rk.12",CAROLINA,12
