"id","code","name"
"giro_000174","15121","Fabricación de maletas, bolsos de mano y otros artículos de marroquinería"
"giro_000175","15122","Fabricación de monturas, accesorios y vainas talabartería"
"giro_000176","15123","Fabricación de artesanías principalmente de cuero natural y sintético"
"giro_000177","15128","Maquilado de artículos de cuero natural, sintético y de otros materiales"
"giro_000178","15201","Fabricación de calzado"
"giro_000179","15202","Fabricación de partes y accesorios de calzado"
"giro_000180","15208","Maquilado de partes y accesorios de calzado"
"giro_000181","","PRODUCCIÓN DE MADERA Y FABRICACIÓN DE PRODUCTOS DE MADERA Y CORCHO EXCEPTO MUEBLES; FABRICACIÓN DE ARTÍCULOS DE PAJA Y DE MATERIALES TRENZABLES"
"giro_000182","16100","Aserradero y acepilladura de madera"
"giro_000183","16210","Fabricación de madera laminada, terciada, enchapada y contrachapada, paneles para la construcción"
"giro_000184","16220","Fabricación de partes y piezas de carpintería para edificios y construcciones"
"giro_000185","16230","Fabricación de envases y recipientes de madera"
"giro_000186","16292","Fabricación de artesanías de madera, semillas, materiales trenzables"
"giro_000187","16299","Fabricación de productos de madera, corcho, paja y materiales trenzables ncp"
"giro_000188","","FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL"
"giro_000189","17010","Fabricación de pasta de madera, papel y cartón"
"giro_000190","17020","Fabricación de papel y cartón ondulado y envases de papel y cartón"
"giro_000191","17091","Fabricación de artículos de papel y cartón de uso personal y doméstico"
"giro_000192","17092","Fabricación de productos de papel ncp"
"giro_000193","","IMPRESIÓN Y REPRODUCCIÓN DE GRABACIONES"
"giro_000194","18110","Impresión"
"giro_000195","18120","Servicios relacionados con la impresión"
"giro_000196","18200","Reproducción de grabaciones"
"giro_000197","","FABRICACIÓN DE COQUE Y DE PRODUCTOS DE LA REFINACIÓN DE PETRÓLEO"
"giro_000198","19100","Fabricación de productos de hornos de coque"
"giro_000199","19201","Fabricación de combustible"
"giro_000200","19202","Fabricación de aceites y lubricantes"
"giro_000201","","FABRICACIÓN DE SUSTANCIAS Y PRODUCTOS QUÍMICOS"
"giro_000202","20111","Fabricación de materias primas para la fabricación de colorantes"
"giro_000203","20112","Fabricación de materiales curtientes"
"giro_000204","20113","Fabricación de gases industriales"
"giro_000205","20114","Fabricación de alcohol etílico"
"giro_000206","20119","Fabricación de sustancias químicas básicas"
"giro_000207","20120","Fabricación de abonos y fertilizantes"
"giro_000208","20130","Fabricación de plástico y caucho en formas primarias"
"giro_000209","20210","Fabricación de plaguicidas y otros productos químicos de uso agropecuario"
"giro_000210","20220","Fabricación de pinturas, barnices y productos de revestimiento similares; tintas de imprenta y masillas"
"giro_000211","20231","Fabricación de jabones, detergentes y similares para limpieza"
"giro_000212","20232","Fabricación de perfumes, cosméticos y productos de higiene y cuidado personal, incluyendo tintes, champú, etc."
"giro_000213","20291","Fabricación de tintas y colores para escribir y pintar; fabricación de cintas para impresoras"
"giro_000214","20292","Fabricación de productos pirotécnicos, explosivos y municiones"
"giro_000215","20299","Fabricación de productos químicos n.c.p."
"giro_000216","20300","Fabricación de fibras artificiales"
"giro_000217","","FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO"
"giro_000218","21001","Manufactura de productos farmacéuticos, sustancias químicas y productos botánicos"
"giro_000219","21008","Maquilado de medicamentos"
"giro_000220","","FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO"
